cip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,51185,0.0,443,tcp,ACC,0.07663583755493164,2044,178,128,120,0,0,https,26671.594716178126,2322.6731210761773,4,3,512,1048,3260364651,562767105,511.0,59.333333333333336,0,0,0.017896954716912775,0.0032265186309814453,1771531381.190442,1771531381.267078,0.012964328130086264,0.01922440528869629,0.03827190399169922,0.07663583755493164,0.03827190399169922,0,17,0,0,0,18,5,5,33,18,1,5
0.0,57457,0.0,53,udp,INT,0.0034189224243164062,70,146,128,124,0,0,dns,20474.28730822873,42703.51352859135,1,1,0,0,0,0,70.0,146.0,0,0,0.0,0.0,1771531381.651827,1771531381.655246,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,56672,0.0,53,udp,INT,0.0028710365295410156,70,102,128,124,0,0,dns,24381.438299285834,35527.23866467364,1,1,0,0,0,0,70.0,102.0,0,0,0.0,0.0,1771531381.652375,1771531381.655246,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51186,0.0,443,tcp,RST,0.07584404945373535,1948,178,128,120,0,0,https,25684.282603980348,2346.9211003637074,4,3,512,0,1091194996,3700444755,487.0,59.333333333333336,0,0,0.017465289936525026,0.003206968307495117,1771531381.65636,1771531381.732204,0.012776374816894531,0.019237995147705078,0.03747105598449707,0.037368059158325195,0.03747105598449707,0,3,0,0,0,18,5,5,33,18,1,5
0.0,51187,0.0,443,tcp,RST,0.07498693466186523,2012,178,128,121,0,0,https,26831.340807203404,2373.746850736683,4,3,512,0,2861432257,1153832795,503.0,59.333333333333336,0,0,0.01724687463988235,0.0041010379791259766,1771531381.717108,1771531381.792095,0.012599627176920572,0.019088029861450195,0.03698587417602539,0.036810874938964844,0.03698587417602539,0,3,0,0,0,18,5,5,33,18,1,5
0.0,64067,0.0,5355,udp,INT,0.5118839740753174,138,0,1,0,0,0,other,269.5923431658265,0.0,2,0,0,0,0,0,69.0,0.0,0,0,0.0,0.0,1771531382.596302,1771531383.108186,0.5118839740753174,0.0,0.0,0.0,0.0,0,14,0,0,0,8,6,6,8,6,1,6
0.0,51188,0.0,7680,tcp,ACC,15.028378963470459,330,0,128,0,0,0,other,21.958456118396555,0.0,5,0,64240,0,2542002532,0,66.0,0.0,0,0,2.6781556912601965,0.0,1771531382.606846,1771531397.635225,3.7570947408676147,0.0,0.0,0.0,0.0,0,17,0,0,0,2,1,1,33,1,1,1
0.0,5353,0.0,5353,udp,INT,19.865746021270752,238,0,255,0,0,0,other,11.980420959030052,0.0,2,0,0,0,0,0,119.0,0.0,0,0,0.0,0.0,1771531382.800961,1771531402.666707,19.865746021270752,0.0,0.0,0.0,0.0,1,24,0,0,0,2,27,27,2,1,27,1
0.0,56942,0.0,5355,udp,INT,0.4095189571380615,138,0,1,0,0,0,other,336.98073701988824,0.0,2,0,0,0,0,0,69.0,0.0,0,0,0.0,0.0,1771531383.51789,1771531383.927409,0.4095189571380615,0.0,0.0,0.0,0.0,0,14,0,0,0,8,6,6,8,6,1,6
0.0,5353,0.0,5353,udp,INT,20.070449829101562,238,0,255,0,0,0,other,11.858229487956319,0.0,2,0,0,0,0,0,119.0,0.0,0,0,0.0,0.0,1771531384.439331,1771531404.509781,20.070449829101562,0.0,0.0,0.0,0.0,1,24,0,0,0,2,27,27,2,1,27,1
